input,instuction,output
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di kalimantan Timur adalah 40,82%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Timur?,"40,82%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Kalimantan Utara adalah 5,31% - 6,50%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Utara?,"5,31% - 6,50%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Kalimantan Utara adalah 4,33% - 5,07%.",Berapa target persentase kemiskinan di Kalimantan Utara?,"4,33% - 5,07%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Kalimantan Utara adalah 3,90% - 3,94%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Utara?,"3,90% - 3,94%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Kalimantan Utara adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Utara?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di Kalimantan Utara adalah 0,263.",Berapa target Rasio Gini di Kalimantan Utara?,"0,263"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Kalimantan Utara adalah 55,77%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Utara?,"55,77%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Utara adalah 5,43% - 5,85%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Utara?,"5,43% - 5,85%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Utara adalah 5,59% - 6,19%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Utara?,"5,59% - 6,19%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Utara adalah 5,01% - 5,56%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Utara?,"5,01% - 5,56%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Utara adalah 0,51.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Utara?,"0,51"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Utara adalah 0,339 - 0,352.",Berapa target Rasio Gini di Provinsi Sulawesi Utara?,"0,339 - 0,352"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Utara adalah 54,9%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Utara?,"54,9%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Tengah adalah 12,72% - 13,28%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Tengah?,"12,72% - 13,28%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Tengah adalah 11,06% - 11,56%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Tengah?,"11,06% - 11,56%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Tengah adalah 2,25% - 2,94%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Tengah?,"2,25% - 2,94%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Tengah adalah 0,51.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Tengah?,"0,51"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Tengah adalah 0,298 - 0,302.",Berapa target Rasio Gini di Provinsi Sulawesi Tengah?,"0,298 - 0,302"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Tengah adalah 77,96%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Tengah?,"77,96%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Selatan adalah 5,50% - 6,30%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Selatan?,"5,50% - 6,30%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Selatan adalah 7,30% - 7,89%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Selatan?,"7,30% - 7,89%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Selatan adalah 3,80% - 4,10%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Selatan?,"3,80% - 4,10%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Selatan adalah 0,52.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Selatan?,"0,52"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Selatan adalah 0,371 - 0,376.",Berapa target Rasio Gini di Provinsi Sulawesi Selatan?,"0,371 - 0,376"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Selatan adalah 37,00%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Selatan?,"37,00%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Tenggara adalah 5,96% - 6,46%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Tenggara?,"5,96% - 6,46%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Tenggara adalah 10,04% -10,54%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Tenggara?,"10,04% -10,54%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Tenggara adalah 2,54% - 3,04%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Tenggara?,"2,54% - 3,04%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Tenggara adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Tenggara?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Tenggara adalah 0,365 - 0,371.",Berapa target Rasio Gini di Provinsi Sulawesi Tenggara?,"0,365 - 0,371"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Tenggara adalah 28,93%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Tenggara?,"28,93%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Gorontalo adalah 5,23% - 5,46%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Gorontalo?,"5,23% - 5,46%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Gorontalo adalah 14,21% - 14,50%.",Berapa target persentase kemiskinan di Provinsi Gorontalo?,"14,21% - 14,50%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Gorontalo adalah 2,87% - 3,08%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Gorontalo?,"2,87% - 3,08%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Gorontalo adalah 0,50.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Gorontalo?,"0,50"
"Berdasarkan RKP 2025 target rasio gini di provinsi Gorontalo adalah 0,394 - 0,400.",Berapa target Rasio Gini di Provinsi Gorontalo?,"0,394 - 0,400"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Gorontalo adalah 59,58%.",Berapa target Intensitas Emisi GRK di Provinsi Gorontalo?,"59,58%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Barat adalah 5,23% - 5,79%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Barat?,"5,23% - 5,79%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Barat adalah 9,00% - 9,73%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Barat?,"9,00% - 9,73%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Barat adalah 1,41% - 2,00%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Barat?,"1,41% - 2,00%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Barat adalah 0,50.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Barat?,"0,50"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Barat adalah 0,345 - 0,349.",Berapa target Rasio Gini di Provinsi Sulawesi Barat?,"0,345 - 0,349"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Barat adalah 61,65%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Barat?,"61,65%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Maluku adalah 5,26% - 5,51%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Maluku?,"5,26% - 5,51%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Maluku adalah 13,01% - 13,51%.",Berapa target persentase kemiskinan di Provinsi Maluku?,"13,01% - 13,51%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Maluku adalah 5,55% - 6,03%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Maluku?,"5,55% - 6,03%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Maluku adalah 0,49.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Maluku?,"0,49"
"Berdasarkan RKP 2025 target rasio gini di provinsi Maluku adalah 0,282 - 0,287.",Berapa target Rasio Gini di Provinsi Maluku?,"0,282 - 0,287"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Maluku adalah 42,88%.",Berapa target Intensitas Emisi GRK di Provinsi Maluku?,"42,88%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Maluku Utara adalah 14,90% - 16,00%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Maluku Utara?,"14,90% - 16,00%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Maluku Utara adalah 4,95% - 5,15%.",Berapa target persentase kemiskinan di Provinsi Maluku Utara?,"4,95% - 5,15%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Maluku Utara adalah 3,80 - 4,00%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Maluku Utara?,"3,80 - 4,00%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Maluku Utara adalah 0,49.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Maluku Utara?,"0,49"
"Berdasarkan RKP 2025 target rasio gini di provinsi Maluku Utara adalah 0,297 - 0,280.",Berapa target Rasio Gini di Provinsi Maluku Utara?,"0,297 - 0,280"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Maluku Utara adalah 86,35%.",Berapa target Intensitas Emisi GRK di Provinsi Maluku Utara?,"86,35%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Papua adalah 4,4% - 4,9%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Papua?,"4,4% - 4,9%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua adalah 16,0% - 16,5%.",Berapa target persentase kemiskinan di Provinsi Papua?,"16,0% - 16,5%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua adalah 6,3% - 6,8%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua?,"6,3% - 6,8%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua adalah 0,45.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua?,"0,45"
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua adalah 0,380 - 0,383.",Berapa target Rasio Gini di Provinsi Papua?,"0,380 - 0,383"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua adalah 59,28%.",Berapa target Intensitas Emisi GRK di Provinsi Papua?,"59,28%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Papua Barat adalah 5,19% - 5,48%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Papua Barat?,"5,19% - 5,48%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua Barat adalah 19,62% - 20,12%.",Berapa target persentase kemiskinan di Provinsi Papua Barat?,"19,62% - 20,12%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua Barat adalah 3,75% - 4,06%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua Barat?,"3,75% - 4,06%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua Barat adalah 0,46.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua Barat?,"0,46"
